epoch,step,train_loss,valid_loss
0,49,7.021302700042725,
0,99,6.759970664978027,
0,149,6.673853874206543,
0,199,6.7426533699035645,
0,249,6.586977481842041,
0,299,6.5910258293151855,
0,349,6.5593743324279785,
0,399,6.665565013885498,
0,449,6.580093860626221,
0,499,6.769698619842529,
0,549,6.597253799438477,
0,599,6.9087018966674805,
0,649,6.759995937347412,
0,699,6.711923599243164,
0,749,6.661389350891113,
0,799,6.608672142028809,
0,849,6.559793949127197,
0,899,6.577807426452637,
0,949,6.694703578948975,
0,999,6.672478675842285,
0,1049,6.527209758758545,
0,1099,6.66752815246582,
0,1149,6.62485933303833,
0,1199,6.734050273895264,
0,1249,6.643842697143555,
0,1299,6.665881633758545,
0,1349,6.591848850250244,
0,1399,6.5434651374816895,
0,1449,6.775515556335449,
0,1499,6.620750427246094,
0,1549,6.675330638885498,
0,1599,6.62078857421875,
0,1649,6.57794189453125,
0,1699,6.645896911621094,
0,1749,6.735939025878906,
0,1799,6.730620384216309,
0,1849,6.674793720245361,
0,1899,6.578728675842285,
0,1949,6.58162784576416,
0,1999,6.746575355529785,
0,2049,6.748562812805176,
0,2099,6.603915691375732,
0,2149,6.656457424163818,
0,2199,6.610889434814453,
0,2249,6.647237300872803,
0,2299,6.636104583740234,
0,2349,6.628020286560059,
0,2399,6.700375080108643,
0,2449,6.66602087020874,
0,2499,6.668054580688477,
0,2549,6.60225772857666,
0,2599,6.5274577140808105,
0,2649,6.760571479797363,
0,2699,6.712972640991211,
0,2749,6.7157793045043945,
0,2799,6.549159049987793,
0,2849,6.620297431945801,
0,2899,6.533324718475342,
0,2910,,6.640633583068848
1,2949,6.546141624450684,
1,2999,6.615413665771484,
1,3049,6.696300029754639,
1,3099,6.6673479080200195,
1,3149,6.655179500579834,
1,3199,6.745481967926025,
1,3249,6.6357927322387695,
1,3299,6.584353446960449,
1,3349,6.638883113861084,
1,3399,6.637712001800537,
1,3449,6.574472904205322,
1,3499,6.690292835235596,
